;context;emotion
9546;i feel a little funny about being so open and personal in my sandblog but if admitting all of this helps me achieve my wish than it s worth it;surprise
9578;i often hear that i give a feeling like i m longer here and folks are surprised to hear that i m only years old hyphen;surprise
9609;i found the art at the other side of all i feel very impressed with my work;surprise
9649;i always feel a little weird writing about a guy ive dated because i dont want to do them an injustice or have them come across in a negative way;surprise
9667;i feel weird tonight;surprise
9670;i feel a strange sensation course through my limbs;surprise
9777;i don t know how sasha fierce feels i m definitely curious about the future of beyonc s sound;surprise
9791;i am feeling quite curious and concerned;surprise
9814;i like the padding because it makes the ride more comfortable but it feels funny to walk in when not riding let alone what it looks like lol;surprise
9893;i use vegetable glycerin in my oil cleansing mixture each night and my skin always feels amazing when i use glycerin;surprise
9904;i think im getting the feeling that were the weird ones for using dryers most of the time;surprise
9914;im more attracted to him because i feel that he knows that hes weird and being a weirdo myself i figure things might work out;surprise
9930;i feel like this inside theres one thing i wanna know whats so funny bout peace love and understanding;surprise
9938;i start to remember how desperately i felt when trying to get pregnant after feeling impressed to start having a family and soon finding that its not as easy as you think to just get pregnant;surprise
9947;i feel ludicrous even thinking these things;surprise
9968;i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that;surprise
9987;i visit this brand for the first time i feel surprised there are so many accessaries at our website;surprise
10061;i feel the most overwhelmed;surprise
10084;i got the feeling that steve was impressed that bi was used in manufacturing and not only in finance as in the us;surprise
10094;im feeling less impressed with the speech this morning than i was last night;surprise
10099;i love they way they feel in my hand im sort of shocked i dont have some psycho fetish;surprise
10137;i feel weird in the companies of those who approve and disapprove of dot com marriages;surprise
10155;i feel so amazed with myself as i could stride nonstop for more than minutes;surprise
10173;i kept waiting to feel the water and when i did i was surprised at the velocity i gained;surprise
10256;i find myself feeling shocked hearing that word spoken out loud in my own lounge room;surprise
10275;i think i deserve for once this freedom makes me feel amazing;surprise
10369;i am feeling a bit overwhelmed here;surprise
10428;i was feeling quite impressed with myself for taking just eight months to finish just the lyrics for one fairly simple though sufficiently tortured emo song;surprise
10439;i am nowhere near finished but how much better do i feel its ludicrous;surprise
10441;i feel developers should hear that people are really impressed with their work if they are;surprise
10447;i still end up feeling a bit dazed from sheer sensory overload after spending an extended time in a very crowded area but today it wasnt too bad and the good company more than made up for it;surprise
10539;im feeling a little impressed at their creativity;surprise
10542;i used to feel when i was still a child being very curious and innocent with everything and everyone around me;surprise
10543;i still feel a little weird calling the ceo of my company bob but relented after he corrected me repeatedly;surprise
10634;i get that sick feeling like the one you get when you hear that someone passed away and youre shocked and lightheaded and i realize hes really gone forever;surprise
10803;i don t usually blog when i m feeling this way but i m actually curious to see if i can put it into words;surprise
10906;i always feel so flattered when another amazing blogger asks me to share a little of world on their blog so here it goes;surprise
10977;i cant help feeling curious you know after all ive heard;surprise
11021;i miss the feeling of feeling amazing;surprise
11053;i left feeling slightly dazed confused and disappointed;surprise
11137;i feel like i should say something but im shocked into silence;surprise
11157;im feeling a little dazed and confused today;surprise
11167;i i have all the predictable feelings loki is that guy i know from many many other fandoms im not impressed with me for my loki feelings;surprise
11179;i feel and i was amazed to find out where papamoka shows up;surprise
11184;i closed my eye taking in the feeling wishing that i could go back in time and re live these amazing moments when i opened my eyes i was taken back by fahad s presence he was leaning against the skeleton of the swing set and smiling at me;surprise
11236;i know also that many others especially parents feel shocked and betrayed at what has been revealed;surprise
11259;i feel funny without;surprise
11279;i feel so amazed ive had views in the past week;surprise
11306;i have some minor neuropathy going on in my fingers and my fingernails feel funny sensitive so that might mean that i could be losing them soon;surprise
11308;i feel slightly dazed and tired and angry but that is a normal emotion and mood for me to experience from day to day or week to week;surprise
11363;im excited for these new changes cause i really feel like it will help me feel like myself again in this funny blogging world;surprise
11382;i feels shocked looking at the elder fitch twin;surprise
11385;i was okay with it but still little have feeling for that my brother was more amazed he like mihm but he wasn t going to get playing time;surprise
11391;i dont mean to boast but i feel rather impressed by my message;surprise
11396;i am feeling quite impressed with myself because i went two directions across the top row and down the left column;surprise
11398;i feel like a monster because as we make our way through the rubble and stunned bodies all im thinking is that we need to find a way to keep going;surprise
11466;i feel funny about saying any of this because the book is selling millions of copies every week and it seems i m the minority in this;surprise
11472;i was feeling this really weird sense of isolation that would have creeped me out pretty bad if i was alone;surprise
11526;i cannot begin trying to understand how it must feel to be surprised by an earthquake or see the devastating pictures live to escape from a tsunami;surprise
11597;i wake up feeling dazed from deep slumber and convoluted sometimes exhausting dreams a bit like a href http skdd;surprise
11648;ill add i havent tried all that time but i do feel as i adapt and pick up techniques quickly this is one of the things im amazed that its taken me this long;surprise
11651;i also feel curious when i read all the readings because not only i want to have depth understanding of social constructivism itself but also i found this unit gives opportunity for me to understand the philosophy of each type of constructivism;surprise
11715;i love seeing what books resonate with my girls i love seeing their faces grow serious when characters face complications trials and obstacles and i love the discussions that come out of reading time as we talk about main ideas how the books made us feel and what may have surprised us;surprise
11739;i wake up feeling kind of dazed and groggy;surprise
11740;i still feel quite amazed at how silent snow is compared to rain;surprise
11764;i feel so curious why she add me back;surprise
11837;i learned about taking a dip in the dating pool its that in relationships its always better to feel surprised than disappointed;surprise
11852;i looked back at her feeling myself desperately curious;surprise
11894;i feel enthralled by the lyrics and the rhythm;surprise
11912;i was aware of feeling so surprised so disappointed i don t think i ever really thought i d have to have a c section;surprise
11960;i feel surprised by my reaction because as a younger woman i always thought i would be a darling older woman;surprise
11961;i was supposed to be working on a grant application but feeling overwhelmed i decided to curl up with my computer and netflix;surprise
11962;i feel a bit stunned actually;surprise
11979;i feel very shocked by how many people i talk to who havent seen this movie;surprise
11982;i feel like im craving it and then no matter what i order i just really am not that impressed;surprise
11994;i have only taken three rolls shots so far and really i have been feeling my way with a very strange camera a lightmeter and the long forgotten thought processes of slow photography;surprise
12008;i declined this invitation but secretly i could not help but feel curious;surprise
12050;i can feel that the two girls are shocked with what i m saying;surprise
12053;i suspect that a few feel revulsion it elicits a weird uncomfortable fascination;surprise
12066;i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills;surprise
12116;i feel a strange connection to them a familiarity that most of the time i link to ancestral memory;surprise
12150;i feel amazed knowing that it had been even bigger;surprise
12153;im feeling funny a href http;surprise
12154;i feel weird sharing that but this is the source of some of my greatest insecurities;surprise
12179;i can run and it feels amazing;surprise
12254;i returned to the ground floor feeling dazed;surprise
12259;i feel this ad does i m not impressed;surprise
12260;i feel that im as curious as when i was a child;surprise
12306;i hardly feel they have any wow factor at all until i saw how stunned liv was at the entire concept;surprise
12337;i immediately related to feeling curious about everything;surprise
12388;im trying to do something often i just look at the whole problem and feel overwhelmed by it then sometimes avoid the issue for as long as i can;surprise
12442;i feel amazing after every thrift trip i got on and to have some many in a small amount of time if my idea of bliss once i am earning again i will re claim my crown of thrift princess;surprise
12459;i enjoy reading immensely and i feel strange or off when i m in between books or just lack the time to read;surprise
12485;i feel shocked his words very pure very self;surprise
12497;i shouldn t have been surprised by the amount of courage that these men had but i can t help but feel slightly shocked by it;surprise
12562;i feel so weird about it;surprise
12586;i feel like i m living in a strange world my wife s paternal grandmother often said;surprise
12603;i sit here feeling dazed after spending most of the afternoon in a comatose state i realise that hours in a day is not enough to do things we really want to;surprise
12635;i finally have access to the website on our development site and am in absolute rapture and delight over how it looks feels and even functions and amazed that my baby has finally arrived;surprise
12691;i feel so strange and sick i have to wake up in three hours seems like everything runs in threes now days t r e e s;surprise
12703;i know theres no hurry to get it done but it still feels a bit weird to not be checking out the newest patch content;surprise
12755;im happier when im feeling curious and genuinely looking forward to the next page alone in my reading chair next to the heater curled up in a blanket than when im muddling through guild wars or wot;surprise
12776;i feel like i quote him or talk about him much but it is only because i am continually amazed and nourished by his spirit and his understanding and excitement for life;surprise
12797;i feel like when i left scad i was finally coming into my own and making work that impressed people;surprise
12874;i remember feeling shocked by the emotions because after all i was pregnant too and at that point we had no reason to think anything was wrong;surprise
12882;i feel you jerked a little surprised at the hand that touched you;surprise
12927;i think back to everything that happened in the book im left feeling stunned;surprise
12933;i started going down the adventure feeling totally ludicrous and wondering if this wasnt all just a waste of my time thats when i saw this screenshot;surprise
12944;i think are close to me as online friends also feel they still very curious about me;surprise
12974;ive done while not writing was had flowers delivered to someone just because brought a meal to a new mom on a day she was feeling overwhelmed and now im stumped trying to remember what has been done;surprise
13000;i am so burdened to be a spiritual father to all generations and i really feel impressed that each and every believer should do so;surprise
13007;i remember feeling overwhelmed and noted the particular smell off the city mostly cigarettes and people with wafts of charred something;surprise
13038;i can feel dazed by all those choices so much so i find myself standing still in front of that blank page unable to make a move;surprise
13044;i feel amazed because when he watch his victim intensely the lying blonde has a pretty face like a girl his skin so smooth his lips so soft and pink and;surprise
13080;i know i have an international audience but even now i feel pleasantly shocked that i can reach certain parts of the world;surprise
13088;i always feel like i need drugs after which is funny cuz its a health food store;surprise
13090;i wonder why people feel the need to make up stories to be amazed at the miracles around us every day;surprise
13152;i discovered out what created my wife feel lovedi was shocked;surprise
13155;i did feel my heart rate increase after the baths and i am curious as to how they d work in the long run on a fat loss plan but between the cost of lbs of ice at a time and the increasingly low temperatures in my apartment i gave them up after a short run;surprise
13198;i feel like every day i walk around with so much stress and sadness that im literally amazed im still here that i still function that im still basically a friendly stable person;surprise
13216;i feel weird taking up time and making these sometimes terrible sounds that people have to hear;surprise
13255;i fight for him when i feel it is just he said and alexander s gaze seemed to turn curious;surprise
13286;i feel curious and bewildered;surprise
13320;i always feeling strange internal feeling like continuous wailing of siren in my head and when nobody hears i couldnt help crying like a siren when no one heard;surprise
13358;im writing this blog post and feeling totally amazed at this wonderful life we lead;surprise
13407;i can remember feeling really amazed at how i could settle down in my playroom read bombsite conservatory and find myself escaping into a whole new place altogether;surprise
13410;i feel like i have weird sugar issues that my hunger is all over the place;surprise
13419;i feel like a bit of a strange one;surprise
13535;i think its time to find better stress management techniques and choke back this feeling of being overwhelmed;surprise
13599;i feel a bit strange saying it;surprise
13651;im not sure if anyone else will feel these but i was pleasantly surprised by my read of the first and second book;surprise
13684;i can legitimately offer to anyone in the program somehow i feel they would be less than impressed by adrasteius and eulalias adventures tho i submit that they are fan freaking tastic;surprise
13687;i feel its a weird turn of events which is marred a bit by a slightly weird prose;surprise
13767;i feel absolutely amazing;surprise
13777;i always feel overwhelmed with a mixture of feelings while listening to these songs;surprise
13778;i want to feel amazed a little more often;surprise
13787;i shook my head feeling dazed;surprise
13802;id love to know in the comments i feel like its a funny thing but i always love reading about how people schedule their days;surprise
13891;im feeling a little overwhelmed here recently;surprise
13960;i feel the tug of the fabric against my thighs and butt i am overwhelmed with the feeling that i am just too fat;surprise
14017;im sure youre not alone in feeling a little funny about enjoying art even black created and black endorsed art littered with a term that would brand you as hateful backward and racist with a capital r if you uttered it in conversation;surprise
14025;i feel gratitude for the opportunity to have met so many amazing people through the magic of the internet;surprise
14033;im also feeling overwhelmed by how often im saying im too old for that shit;surprise
14060;i started feeling a bit strange;surprise
14076;i dont watch a whole lot however when i do i turn off the tv and feel stunned;surprise
14078;i feel like i ve impressed a lot of the scientists with my ability to quickly pick up all the skills expected of a tech;surprise
14092;ive been feeling for awhile and he looked at me with a surprised look and said is that you;surprise
14105;im not feeling overwhelmed by school just yet i only give that a week or so hah;surprise
14107;i feel kind of strange;surprise
14131;i am not sure why in that moment that i thought i would be able to feel it hellip but it was pretty funny;surprise
14133;im feeling extraordinarily dazed and bewildered this arvo for no particular reason and my muscles all hurt even though i dont actually have any;surprise
14197;i feel like amazing x men compensated enough to earn it a out of;surprise
14214;i feel dazed deserted;surprise
14218;i feel surprised that scientists to actually question about how it is weird for the initial conditions of the universe to be fine tuned to very special values such that our universe is almost flat;surprise
14226;i still feel so amazed knowing i stood right in front of jason;surprise
14287;i spent some time at the school yesterday talking to folks and snapping pics of my daughters as they delighted in the last day of school fun and i came away feeling impressed and happy which to tell the truth is my usual feeling about the place;surprise
14314;i could feel myself hit this strange foggy wall;surprise
14346;i winced and said that does not feel funny;surprise
14370;i feel the need to say that i was very amazed with the quality of the presentation and the resources which mack michaels puts forward;surprise
14373;i could spend hours on a set and feel amazing;surprise
14392;i feel impressed to talk to my older children about my vision for our family and enlist their aid in accomplishing it;surprise
14442;i have to fight from feeling overwhelmed by it all;surprise
14456;i feel curious about the subject matter;surprise
14467;i know the playwright robert reid socially and i feel a bit weird being so critical of work by someone im kinda sorta friends with;surprise
14593;i feel could be amazing but like wonder woman is rarely handled well;surprise
14597;im feeling this little one move a lot now and im constantly surprised by his her little kicks;surprise
14611;i am feeling a lil overwhelmed again;surprise
14651;i was feeling overwhelmed;surprise
14684;i dont i feel amazed;surprise
14697;i feel like when i was a kid it was constantly impressed upon me how awesome ants are;surprise
14708;i were discussing on freedom and economic growth in global civil society i cudnt help but feeling amazed our frens in da philippines dat they r happy maintain basic living condition without rapid development as long as their freedom is not being touched;surprise
14711;i also don t know why is the reason of this freaky feeling that disturb my funny mood it should be but it don t;surprise
14751;i personally feel amazed that i have managed to connect with such amazingly talented and creative people through this little world of dance;surprise
14764;i am a boy i like girls they are pretty and i like it when they smile at me but it makes me feel funny;surprise
14768;i am currently feeling i wouldnt surprised if its flipped again;surprise
14842;i barely even feel like explaining the weird history of shadow dancer the not really console port of the arcade sequel to shinobi even though there was already a console sequel to shinobi thats a totally different game the revenge of shinobi;surprise
14852;i feel fighter move in me and i am amazed at the way he and my tummy is growing so quickly;surprise
14919;i get the feeling that hes not impressed with me;surprise
14940;i started back at work i have to admit that ive been feeling a little overwhelmed;surprise
14951;i remember feeling shocked that he had called me religious;surprise
15038;i find myself still feeling curious when i log into sl;surprise
15212;i feel like the hymn says i stand all amazed at the love jesus offers me confused at the grace that so fully he proffers me;surprise
15215;i still feel slightly strange with sorrow but i know its not something of god but of satan;surprise
15285;i feel strongly impressed that there must be something for me to do;surprise
15292;im just nosy or i like to see the process or behind the scenes of a peice but i feel like i should at least provide a little treat to everyone who is curious like me;surprise
15300;i feel thompson needs to work on then again i m not exactly impressed by flash and fluff;surprise
15308;i feel amazing when i lift;surprise
15370;i pick out of the air and feel curious about;surprise
15371;ive seen how mean other kids and adults can be to a child who doesnt fit into the norm and no way was i going to label him so he could be made to feel he was anything other than amazing;surprise
15380;i have a feeling that my plant may have been temperature shocked;surprise
15398;i was feeling pretty overwhelmed and stressed out over the whole affair but a few minutes of straightforward logical there totally is a right answer algebra combined with overhearing some trigonometry another tutor and tutee were working on at the library calmed me right down;surprise
15411;i always find the way to feel and be impressed;surprise
15413;i should not have shared my feelings with him but i was shocked by them too;surprise
15433;i know im making a big deal out of it but i feel quite shocked that i can drive;surprise
15468;i cant help feeling a strange variety of relief for that;surprise
15470;i feel funny just calling it a film;surprise
15508;i was like oh thats awesome blah but then he was like reminding me hes interested in this other girl and i was like i know this but what concerns me more is if it makes you feel too weird to be with me like this;surprise
15543;i can say one good thing about this movie and thats the computer generated transformers took on a truly real look and feel i was amazed at how fluidly them integrated with the live action and just how good they looked in general;surprise
15546;i would be feeling i am genuinely shocked and surprised that he just hit jude;surprise
15574;i often pass by the streets of jurer and feel impressed by some nice constructions and safe atmosphere it has;surprise
15623;ive been medicated today but i feel funny;surprise
15754;i didnt feel as amazed as i expected their nail area is quite small and isnt very posh and cushy like i hoped;surprise
15788;im feeling a bit dazed and out of sorts like someone needs to poke me to really wake me up;surprise
15813;i was feeling strange downstairs i could still feel the dull sensation of the contractions but the nurse said she didnt want to check me for about an hour;surprise
15825;i even feel it is a game that i am a part of some strange reality swarming with violent carnivores adding to the bare landscape of the place i now know;surprise
15871;i spent a lot of time feeling a bit stunned that they thought i was that awesome;surprise
15943;i believe the most readers feel impressed by the individual journey;surprise
15970;i have to admit im feeling pretty overwhelmed;surprise
15974;i am feeling much like the guy in the pic above a little overwhelmed and starved for time but very delighted to be making new work and preparing my little florida bungalow for thanksgiving guests this weekend;surprise
15989;i need to do this that and the other for college by such and such a date because for the past four years ive always felt like ive been needing to do something college based and now i dont but i still have that feeling its really weird i feel almost guilty in fact;surprise
